Undefeated |AtlasParkTour1
Silent Sentinel |AtlasParkTour2
Hero Corps Insider::Hero Corps Infiltrator |AtlasParkTour3
Patriot::International Spy |AtlasParkTour4
Top Dog |AtlasParkTour5
Freedom::Covert Operator |AtlasParkTour6
Edge of Chaos |AtlasParkTour7
Observant |AtlasParkTour8
Bird Watcher |GalaxyCityTour1
Blue Shield |GalaxyCityTour2
Brawler |GalaxyCityTour3
Tank |GalaxyCityTour4
Land Locked |GalaxyCityTour5
Galactic Fan |GalaxyCityTour6
Eye of the Gemini |GalaxyCityTour7
Orion's Belt |GalaxyCityTour8
Summoned |KingsRowTour1
Upgraded |KingsRowTour2
Mystic King/Queen |KingsRowTour3
Keen Sighted |KingsRowTour4
Smokey |KingsRowTour5
Wentworth History Buff |KingsRowTour6
Pwned |KingsRowTour7
Man/Woman of Vengeance |KingsRowTour8
Secret Admirer |SteelCanyonTour1
Hero Corps Recruit::Hero Corps Reject |SteelCanyonTour2
Nimble Mynx |SteelCanyonTour3
Bright Star |SteelCanyonTour4
Dance Legend |SteelCanyonTour5
Controversial |SteelCanyonTour6
Pet Project |SteelCanyonTour7
Dirty Attorney |SteelCanyonTour8
Purifier::Defiler |SkywayCityTour1
Solace |SkywayCityTour2
Dauntless |SkywayCityTour3
Healing Node |SkywayCityTour4
Better Days |SkywayCityTour5
Room for Expansion |SkywayCityTour6
Left Behind |SkywayCityTour7
Bridge to Nowhere |SkywayCityTour8
Undammed |FaultlineTour1
Newsman/girl |FaultlineTour2
Faultless Mystic |FaultlineTour3
Apex |FaultlineTour4
Escape Artist |FaultlineTour5
Drowned Rat |FaultlineTour6
Old Fashioned |FaultlineTour7
Egg Hunter |FaultlineEaster
Minotaur |TalosIslandTour1
Nature Lover::Eco-warrior |TalosIslandTour2
Whitecap |TalosIslandTour3
Last Line of Defense |TalosIslandTour4
The Old Me |TalosIslandTour5
Bridge Holder |TalosIslandTour6
Overtime Worker |TalosIslandTour7
Spanky's Competitor |TalosIslandTour8
Crey Havoc |IndependancePortTour1
Valorous |IndependancePortTour2
Vigorous |IndependancePortTour3
Air Lifter |IndependencePortTour4
Dead End |IndependencePortTour5
Family Partier |IndependencePortTour6
Connector |IndependencePortTour7
Unlucky |IndependencePortTour8
Grim Wanderer |CroatoaTour1
Spiritual |CroatoaTour2
Ensorcelled |CroatoaTour3
Jack's Wrath |CroatoaTour6
Barrier Holder |CroatoaTour4
Sally Sightseer |CroatoaTour5
Waylon's Observer |CroatoaTour7
Midnighter's Perseverance |CroatoaTour8
Mystic |BrickstownTour1
Inmate |BrickstownTour2
Flying Shark |BrickstownTour3
Fugitive |BrickstownTour4
Forward Thinker |BrickstownTour5
Secret Path |BrickstownTour6
Sixth Passenger |BrickstownTour7
Unsubtle |BrickstownTour8
Foggy |FoundersFallsTour1
Chaotician |FoundersFallsTour2
Guardian Angel::Barely Contained |FoundersFallsTour3
Losing Paradise |FoundersFallsTour4
Watchful Eyes |FoundersFallsTour5
Hamidon's Fury |FoundersFallsTour6
Founders' Hero::Founders' Loss |FoundersFallsTour7
Misunderstood |FoundersFallsTour8
Portal Parter |PeregrineIslandTour1
Use Might for Right::Rookie's Mistake |PeregrineIslandTour2
Cause for Concern |PeregrineIslandTour3
Genetically Altered |PeregrineIslandTour4
Rikti Gone Wild |PeregrineIslandTour5
Shades of Arachnos |PeregrineIslandTour6
All-Seeing |PeregrineIslandTour7
Dark Omen |PeregrineIslandTour8
Spirit of the City |SewerNetworkTour1
Plutonian |SewerNetworkTour2
Baumton Avenger |SewerNetworkTour3
Sewer Queen/King |SewerNetworkTour4
Sewer Stalker |SewerNetworkTour5
Downward Bound |SewerNetworkTour6
Terror of the Vahzilok |SewerNetworkTour7
Seeker of the Lost |SewerNetworkTour8
Head of the Hydra |AbandonedSewersTour1
Boomtown Refugee |AbSewerNetworkTour1
Hades Aspirant |AbSewerNetworkTour2
Secret of the City |AbSewerNetworkTour3
Sprawl Survivor |AbSewerNetworkTour4
The Underlord/lady |AbSewerNetworkTour5
From Beneath You |AbSewerNetworkTour6
Living Dark |AbSewerNetworkTour7
Persephone Supplicant |AbSewerNetworkTour8
Parapsychologist |HollowsTour1
Seeker of Monsters |HollowsTour2
Geologist |HollowsTour3
Backwoodsman |HollowsTour4
Gangland Fury |HollowsTour5
Graffiti Communicator |HollowsTour6
Circle Seeker |HollowsTour7
Ironic |HollowsTour8
Territorial |PerezParkTour1
Avatar |PerezParkTour2
Around the Bendis |PerezParkTour3
Doc Whedon |PerezParkTour4
Justice Avenger::Social Climber |PerezParkTour5
Nebula's Memory |PerezParkTour6
Blood Moss |PerezParkTour7
Ophelia's Final Scene |PerezParkTour8
Phalanxer |BoomtownTour1
Regal |BoomtownTour2
Vision of Despair |BoomtownTour3
Destined for Valhalla |BoomtownTour4
Towering Inferno |BoomtownTour5
Boomtown Troglodyte |BoomtownTour6
End of the Line |BoomtownTour7
Corpse Box |BoomtownTour8
Super Spy |StrigaTour1
Sea Dog |StrigaTour2
Vulcanologist |StrigaTour3
The Wolf's Snarl |StrigaTour4
Words of the Warrior |StrigaTour5
The Unnamed |StrigaTour6
The Wolf's Maw |StrigaTour7
Vampyri Watcher |StrigaTour8
Conjunction Junction |TerraVoltaTour1
Meltdown |TerraVoltaTour2
Nervous Dreck |TerraVoltaTour3
Guardian of the Volts |TerraVoltaTour4
Danger! Danger! |TerraVoltaTour5
Scrapheap of History |TerraVoltaTour6
Power Walker |TerraVoltaTour7
High Voltage! |TerraVoltaTour8
Dark Mystic |DarkAstoriaTour1
Seeker of the Unknown |DarkAstoriaTour2
Cairn Warder |DarkAstoriaTour3
Whisperer on Witchburn Hill |DarkAstoriaTour4
Phantom Radio |DarkAstoriaTour5
Too Dark Park |DarkAstoriaTour6
Astoria's Last Stand |DarkAstoriaTour7
The Sleeper Below |DarkAstoriaTour8
Crey Watcher |CreysFolleyTour1
Burning the Midnight Oil |CreysFolleyTour2
Eyes of Nemesis |CreysFolleyTour3
Hammer of the Rikti |CreysFolleyTour4
Veni, Vidi, Vici |CreysFolleyTour5
Crey Cares |CreysFolleyTour6
Freak's Folly |CreysFolleyTour7
Cirque du'Freak |CreysFolleyTour8
Crey Fish |EdenTour1
Unspoiled |EdenTour2
Call of Nature |EdenTour3
Nature's Wrath |EdenTour4
Natural Law |EdenTour5
The Devouring Earth Abides |EdenTour6
Hive Mind |EdenTour7
Natural Selection |EdenTour8
Time Bandit |TheHiveTour1
Heart of the Hamidon |TheHiveTour2
Babe in the Woods |TheHiveTour3
The Wounded Earth |TheHiveTour4
Wild At Heart |TheHiveTour5
Among the Giants |TheHiveTour6
The Sound of Thunder |TheHiveTour7
Forest of Stone |TheHiveTour8
Defying Gravity |FirebaseZuluTour1
Dimensional Sojourner |FirebaseZuluTour2
Stormwatcher |FirebaseZuluTour3
Alpha Ranger |FirebaseZuluTour4
Shadow Architect |FirebaseZuluTour5
X-Ray Spectator |FirebaseZuluTour6
Dancer with Death |FirebaseZuluTour7
Shard Leaper |FirebaseZuluTour8
Castaway |CascadeArchTour1
Peace Walker |CascadeArchTour2
Being and Nothingness |CascadeArchTour3
Hearing Voices |CascadeArchTour4
Liquid Memory |CascadeArchTour5
Usurper of Worlds |CascadeArchTour6
No Turning Back Now |CascadeArchTour7
The Heart of Memory |CascadeArchTour8
King/Queen of Pain |ChantryTour1
Unfettered |ChantryTour2
Penitent |ChantryTour3
Misbegotten |ChantryTour4
Bereaved |ChantryTour5
Dispossessed |ChantryTour6
Red Fog |ChantryTour7
Demiurge |ChantryTour8
Courting Madness |StormPalaceTour1
Acolyte of Anger |StormPalaceTour2
Malice Aforethought |StormPalaceTour3
Tormented |StormPalaceTour4
Hate Machine |StormPalaceTour5
Fist of Fury |StormPalaceTour6
Eve of Destruction |StormPalaceTour7
Lord/Lady of Storms |StormPalaceTour8
Jail Bird |TutorialTour3
Cesspool |MercyIslandTour1
Snake Charmer |MercyIslandTour2
Chum |MercyIslandTour3
Fortified |MercyIslandTour4
The Next Big Thing |MercyIslandTour5
Widower/Widow |MercyIslandTour6
First Rule |MercyIslandTour7
Tiki Fan |MercyIslandTour8
Scurvy Dog |PortOakesTour1
Washed Up |PortOakesTour2
Powder Monkey |PortOakesTour3
Driller |PortOakesTour4
Long Walk |PortOakesTour5
Big Spider |PortOakesTour6
Commuter's Woe |PortOakesTour7
Hidden Getaway |PortOakesTour8
Sparky |CapauDiableTour1
Media Junky |CapauDiableTour2
Egghead |CapauDiableTour3
Steamed |CapauDiableTour4
Sweet Tooth |CapauDiableTour5
